Soal1,Soal2,Soal3,Soal4,Soal5,Soal6,Soal7,Soal8,Soal9,Soal10,Hasil
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
2,2,2,2,2,2,1,2,2,1,Bukan Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,2,1,2,1,1,Bakat Bahasa
1,1,2,1,2,1,1,1,1,2,Bakat Bahasa
1,2,1,2,1,2,1,1,2,1,Bakat Bahasa
1,1,1,1,1,1,1,2,2,1,Bakat Bahasa
1,1,1,2,1,2,2,1,1,1,Bakat Bahasa
1,1,2,1,2,1,1,2,2,2,Bakat Bahasa
1,1,1,1,1,2,2,2,2,1,Bakat Bahasa
2,2,1,2,1,2,2,1,1,1,Bakat Bahasa
1,1,1,1,2,1,1,1,1,2,Bakat Bahasa
2,1,1,2,1,1,2,2,2,2,Bukan Bakat Bahasa
2,2,2,2,2,2,2,2,2,1,Bukan Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,2,2,Bakat Bahasa
1,1,1,2,2,1,1,2,2,1,Bakat Bahasa
1,2,1,1,1,1,1,2,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,2,1,2,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
2,2,2,2,2,2,2,1,1,1,Bukan Bakat Bahasa
1,2,2,1,1,2,2,1,2,2,Bukan Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,2,1,1,1,1,1,2,2,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,2,2,1,1,1,1,1,1,1,Bakat Bahasa
1,1,2,1,2,2,1,1,1,1,Bakat Bahasa
1,2,1,1,1,2,1,1,1,1,Bakat Bahasa
1,1,1,1,2,1,2,2,1,1,Bakat Bahasa
2,1,1,1,2,2,2,2,2,2,Bukan Bakat Bahasa
1,1,1,1,1,1,1,1,1,2,Bakat Bahasa
2,2,1,1,1,1,1,1,1,1,Bakat Bahasa
2,2,1,1,1,1,1,2,1,1,Bakat Bahasa
2,2,2,2,2,2,2,2,1,1,Bukan Bakat Bahasa
1,1,1,1,2,1,1,1,2,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,2,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,1,2,1,1,1,1,1,1,Bakat Bahasa
1,1,1,1,1,1,2,2,1,1,Bakat Bahasa
1,1,2,2,2,2,1,1,2,2,Bukan Bakat Bahasa
1,1,1,1,2,1,1,1,1,2,Bakat Bahasa
1,2,1,1,1,1,1,1,1,1,Bakat Bahasa
2,2,1,2,1,1,2,2,2,1,Bukan Bakat Bahasa
2,2,2,2,2,2,2,2,2,2,Bukan Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,1,2,2,2,1,2,2,2,Bukan Bakat Bahasa
2,1,2,1,1,1,2,2,1,1,Bakat Bahasa
1,1,2,1,1,1,2,1,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,2,1,1,2,2,1,1,2,2,Bakat Bahasa
2,1,2,1,2,1,1,1,2,1,Bakat Bahasa
1,1,2,1,1,1,1,2,1,1,Bakat Bahasa
1,1,1,1,1,1,2,1,1,1,Bakat Bahasa
1,2,1,2,1,1,1,1,2,2,Bakat Bahasa
1,1,1,1,1,2,1,1,1,1,Bakat Bahasa
2,1,1,1,2,2,1,2,1,1,Bakat Bahasa
1,2,1,1,2,1,1,2,1,1,Bakat Bahasa
1,1,1,2,1,1,2,1,2,2,Bakat Bahasa
2,1,2,1,1,1,1,2,1,1,Bakat Bahasa
1,2,1,2,2,1,1,2,1,1,Bakat Bahasa
1,2,1,1,1,2,1,2,1,1,Bakat Bahasa
1,1,2,1,1,1,1,1,2,2,Bakat Bahasa
2,1,1,1,1,1,2,1,1,1,Bakat Bahasa
1,1,1,2,1,2,1,1,1,2,Bakat Bahasa
1,1,1,1,2,2,1,1,1,2,Bakat Bahasa
1,1,1,1,1,2,1,1,1,2,Bakat Bahasa
1,1,1,1,1,2,1,2,1,1,Bakat Bahasa
2,2,1,1,1,1,2,1,2,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,2,1,1,1,1,1,1,1,1,Bakat Bahasa
1,2,1,2,2,2,1,2,1,2,Bukan Bakat Bahasa
1,1,1,1,1,1,2,2,1,1,Bakat Bahasa
2,1,1,1,1,1,1,1,2,1,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
2,2,1,1,2,1,1,2,1,1,Bakat Bahasa
2,1,1,1,2,2,2,2,2,1,Bukan Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,1,2,1,1,1,1,1,1,2,Bakat Bahasa
1,1,1,1,1,1,1,1,1,1,Bakat Bahasa
2,1,2,1,2,1,2,1,1,1,Bakat Bahasa
2,1,2,1,1,2,1,1,1,1,Bakat Bahasa
1,1,1,2,1,1,1,2,1,2,Bakat Bahasa
1,2,1,1,1,1,1,1,1,2,Bakat Bahasa
1,1,1,2,1,1,1,1,2,1,Bakat Bahasa
2,2,2,2,1,2,2,2,1,1,Bukan Bakat Bahasa
2,1,2,1,2,1,1,2,1,1,Bakat Bahasa
1,1,1,1,1,1,1,1,2,2,Bakat Bahasa
2,1,1,1,1,1,1,1,1,1,Bakat Bahasa
1,2,1,2,1,1,2,2,2,2,Bukan Bakat Bahasa
2,2,1,2,1,1,1,2,1,1,Bakat Bahasa
2,2,1,1,2,2,1,1,2,2,Bukan Bakat Bahasa
1,1,2,1,1,1,1,1,1,1,Bakat Bahasa
1,1,2,1,2,1,1,1,1,1,Bakat Bahasa
1,2,2,1,1,1,2,1,1,1,Bakat Bahasa
2,2,2,2,1,2,1,2,1,2,Bukan Bakat Bahasa
